file,dataset,provider,url,download_date,sha256
data/raw/cbc/bop_annual.xls,"Balance of payments, annual, BPM6 (2008-2025)",Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/STTBG__BOP__2008-2025_ANNUAL__EN.xls,2026-09-24,5a90a7adc47fb9b63a7dcfe3f628271d5c09e55dfb6d9592eb412c84d83991a5
data/raw/cbc/QIIP_2008-2025_ANNUAL_EN.xlsx,"International investment position, annual",Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/QIIP_2008-2025_ANNUAL_EN.xlsx,2026-09-24,32754d139703ad1e51445f98c86e95f07edbf69828157ca292ab5f338ee7e212
data/raw/cbc/Annual_Transactions_Data_by_Country_EN0011.xlsx,FDI transactions by country,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Transactions_Data_by_Country_EN0011.xlsx,2026-09-24,0af3c9722860874c9ef344067440a0d21afdc3f3023f359f0c3f7aeb87e3ce97
data/raw/cbc/Annual_Transactions_Data_by_Economic_Activity_EN0007.xlsx,FDI transactions by economic activity,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Transactions_Data_by_Economic_Activity_EN0007.xlsx,2026-09-24,ae68a1494461265ad8c79b7775338c46da5ae60b2d9c881a2726026c8bee75a7
data/raw/cbc/Annual_Stock_Data_by_Country_EN0010.xlsx,FDI positions by country,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Stock_Data_by_Country_EN0010.xlsx,2026-09-24,277ae72c65efacb65eafc1e4d140f2db84d78eb61d4c40163eb12eb7f95fbe53
data/raw/cbc/Annual_Stock_Data_by_Economic_Activity_EN0009.xlsx,FDI positions by economic activity,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Stock_Data_by_Economic_Activity_EN0009.xlsx,2026-09-24,ecb25a5adcc806bc63162eb5b7582ea5047280ee7f7f76de5b133fd6d1ea0f3f
data/raw/cbc/Annual_UIE_Stock_Data_by_Country_EN0002.xlsx,FDI positions by ultimate investing economy,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_UIE_Stock_Data_by_Country_EN0002.xlsx,2026-09-24,2a78e09ce0b0391245860a96f1aa644ca7b620b84496fe3d2cc1e8ce3c196630
data/raw/cbc/spe_def.pdf,Definition for the identification of SPEs,Central Bank of Cyprus,https://www.centralbank.cy/images/media/redirectfile/External%20Statistics/External%20Statistics/Definition_of_SPEs_EN.pdf,2026-09-24,bbae0aaa424e0f83a1c12808e4c9b41f027d836387e092751e51b5963115206b
