file,dataset_code,dataset_title,provider,url,filters,download_date,sha256,rows,last_update
data/raw/eurostat_eu/nasa_10_nf_tr__geo-EL+IE+LU+MT+NL+PT_sector-S1+S11+S12+S13+S14_S15+S2_unit-CP_MEUR_t-2010-.parquet,nasa_10_nf_tr,Non-financial transactions - annual data,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nasa_10_nf_tr/.CP_MEUR...S1+S11+S12+S13+S14_S15+S2.MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'sector': ['S1', 'S11', 'S12', 'S13', 'S14_S15', 'S2'], 'unit': ['CP_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,861a666ace88490490a2957ad122a21bf794ac11315447f6249f828f968cd7a2,71287,2026-07-27
data/raw/eurostat_eu/nama_10_a64__geo-EL+IE+LU+MT+NL+PT_unit-CLV20_MEUR+CP_MEUR_t-2010-.parquet,nama_10_a64,Gross value added and income by detailed industry (NACE Rev.2 ),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_a64/.CP_MEUR+CLV20_MEUR...MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,dab47162170e530a43dd6218c4e5e7eac0657de68ecb355a23369825e988cd81,95902,2026-09-23
data/raw/eurostat_eu/bop_c6_a__bop_item-CA+D1+D2+D3+D41__D__FLA+D41__O__FLA+D41__P__F3+D42S_a6dfd781f3.parquet,bop_c6_a,Balance of payments by country - annual data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_c6_a/.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45...CRE+DEB+BAL.WRL_REST+EU27_2020+EXT_EU27_2020.MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,5d56c0876a8a90ffbbe2f55f50eb2164645d29ccecb80a0a9da63ea1d6c91f6e,44119,2026-07-08
data/raw/eurostat_eu/bop_rem6__currency-MIO_EUR_geo-EL+IE+LU+MT+NL+PT_t-2010-.parquet,bop_rem6,Personal transfers and compensation of employees,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_rem6/.MIO_EUR....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'currency': ['MIO_EUR'], 'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,0fd679480621e17ab123148e4e573890653cb38ed290acfa5e1d748a0084cab2,203509,2025-12-15
data/raw/eurostat_eu/fats_activ__geo-EL+IE+LU+MT+NL+PT.parquet,fats_activ,Foreign controlled EU enterprises by NACE Rev. 2 activity and country of control (from 2021 onwards),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_activ/....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false,"{'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,f688d3081e52b13d4f70741920e8bf162925022792364318d81bd9da3dfba064,592132,2026-04-07
data/raw/eurostat_eu/fats_g1a_08__geo-EL+IE+LU+MT+NL+PT.parquet,fats_g1a_08,Foreign control of enterprises by economic activity and a selection of controlling countries (2008-2020),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2008&endPeriod=2011 | https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2012&endPeriod=2014 | https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2015&endPeriod=2017 | https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....MT+IE+LU+NL+EL+PT/?format=SDMX-CSV&compressed=false&startPeriod=2018&endPeriod=2020,"{'geo': ['MT', 'IE', 'LU', 'NL', 'EL', 'PT'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,e574382126ba396be60135e261b89cc3a42c9ecc1df3782e063b2197b4eb24b1,6349111,2023-11-03
